"","random_1","random_2","random_3","random_4","random_5","firstyear","lastyear","mu","emp_1976","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000","sic3"
"1",5,5,3,1,4,1979,1986,0,54,6,114,97,84,93,105,82,78,15,40,66,29,108,107,18,93,117,45,79,54,10,38,31,10,259
"2",2,4,5,1,4,1977,1983,0,54,17,70,92,29,64,91,57,55,103,98,84,61,28,110,18,125,27,100,85,72,17,18,112,45,829
"3",1,5,2,1,1,1978,1983,0,63,63,63,52,82,89,81,123,11,87,65,120,75,51,10,100,118,20,123,22,118,12,90,53,64,542
"4",5,1,2,2,5,1976,1995,1,95,73,112,85,27,96,11,71,32,29,89,7,21,114,16,11,48,83,6,0,116,90,75,90,114,542
"5",3,2,2,3,5,1980,1997,0,1,19,42,16,125,42,125,83,39,29,2,25,70,78,100,32,16,88,94,17,98,11,29,85,94,829
"6",4,3,5,5,1,1978,1999,1,94,37,60,0,36,10,47,77,113,112,95,91,28,98,50,17,20,64,11,34,29,56,63,60,52,829
"7",5,1,3,5,5,1977,1992,1,78,46,21,122,92,39,46,119,96,104,16,20,30,111,110,100,45,26,59,113,104,81,41,29,123,829
"8",2,2,4,5,4,1979,1992,1,123,21,81,54,64,85,17,35,10,81,16,84,74,110,106,118,30,58,28,75,6,117,59,81,116,542
"9",5,5,4,2,2,1977,1991,0,72,44,39,73,32,6,100,91,71,2,15,102,73,81,64,113,43,115,103,111,37,112,9,82,116,178
"10",2,5,4,5,4,1976,1981,1,2,78,21,0,121,65,1,100,68,83,78,43,115,42,112,107,21,105,76,48,37,2,97,99,77,259
