"","random_1","random_2","random_3","random_4","random_5","firstyear","lastyear","mu","emp_1976","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000","sic3"
"1",1,3,5,1,3,1980,1999,1,45,93,40,51,1,1,108,77,3,60,23,48,124,105,52,13,59,83,47,47,20,84,103,3,89,829
"2",1,2,3,2,1,1978,1981,0,89,66,101,4,72,59,122,120,39,65,93,56,113,35,46,91,110,84,60,0,36,40,122,115,109,178
"3",3,5,5,3,1,1977,1986,0,90,117,119,21,36,62,35,71,10,65,74,51,46,44,15,70,4,90,81,56,75,57,78,78,61,829
"4",1,1,2,4,5,1976,2000,1,50,40,13,121,48,45,79,2,109,71,33,113,125,117,58,82,62,22,34,58,55,114,6,84,100,259
"5",3,1,2,4,5,1980,1987,0,96,75,101,108,10,70,21,73,107,9,25,20,35,98,61,74,99,71,63,65,87,31,73,47,74,259
"6",4,2,5,1,5,1979,1984,1,80,69,48,19,34,54,36,102,113,92,112,86,118,122,24,97,77,15,29,8,95,24,55,91,12,178
"7",1,4,3,5,2,1980,1993,0,63,17,122,38,40,73,118,67,109,106,2,80,81,31,87,115,98,90,105,118,3,46,64,95,63,542
"8",2,5,1,3,1,1979,1999,1,106,72,112,39,46,107,80,100,43,14,64,112,6,117,68,6,14,97,35,59,70,75,5,41,108,542
"9",3,3,3,5,1,1977,1999,1,82,42,86,13,10,3,36,88,106,45,114,103,13,19,12,28,8,0,110,6,89,120,2,108,45,829
"10",3,3,2,2,5,1977,1987,0,101,82,54,35,75,18,31,31,56,40,37,46,80,45,33,30,120,77,7,58,35,123,7,117,23,259
