"","random_1","random_2","random_3","random_4","random_5","firstyear","lastyear","mu","emp_1976","emp_1977","emp_1978","emp_1979","emp_1980","emp_1981","emp_1982","emp_1983","emp_1984","emp_1985","emp_1986","emp_1987","emp_1988","emp_1989","emp_1990","emp_1991","emp_1992","emp_1993","emp_1994","emp_1995","emp_1996","emp_1997","emp_1998","emp_1999","emp_2000","sic3"
"1",1,5,5,2,2,1976,1998,0,6,120,74,61,16,59,59,21,65,105,93,52,36,13,35,45,40,95,25,26,5,34,95,41,86,259
"2",2,1,3,2,1,1977,1985,0,28,17,52,13,45,120,32,19,92,26,122,16,25,110,120,47,1,69,117,94,64,83,35,37,86,259
"3",1,5,4,1,2,1979,1982,1,94,110,113,52,102,104,114,44,84,30,116,107,30,30,83,106,14,25,5,124,58,99,48,6,111,178
"4",2,1,1,5,1,1979,1982,1,60,30,35,117,112,52,99,84,82,48,74,77,99,83,18,79,105,73,4,85,23,87,111,96,6,542
"5",2,5,4,4,3,1976,1985,0,94,62,113,57,104,56,19,54,82,8,105,47,85,25,100,41,32,34,37,39,123,26,54,47,95,542
"6",1,1,5,2,1,1976,1996,1,83,103,79,104,123,94,85,37,110,102,113,108,12,114,97,101,118,3,71,118,90,102,102,32,92,542
"7",2,5,4,5,1,1979,1990,1,20,87,4,63,75,118,64,26,103,36,108,97,45,63,57,76,124,20,43,125,48,34,61,86,15,178
"8",5,1,1,3,1,1980,1988,1,16,9,63,20,92,29,43,52,48,118,109,117,118,120,1,31,118,85,17,35,87,2,68,22,2,829
"9",2,2,1,1,3,1980,1988,0,88,31,18,99,122,15,94,59,78,104,96,35,100,111,106,42,33,60,5,114,68,8,49,14,41,259
"10",2,4,1,2,4,1978,1995,1,122,94,80,102,42,81,41,68,94,13,92,11,84,79,104,104,39,66,11,64,124,64,123,37,117,829
